SalesQuotaKey,EmployeeKey,DateKey,CalendarYear,CalendarQuarter,SalesAmountQuota
1,272,20050701,2005,3,28000.0
2,281,20050701,2005,3,367000.0
3,282,20050701,2005,3,637000.0
4,283,20050701,2005,3,565000.0
5,284,20050701,2005,3,244000.0
6,285,20050701,2005,3,669000.0
7,286,20050701,2005,3,165000.0
8,287,20050701,2005,3,460000.0
9,288,20050701,2005,3,525000.0
10,289,20050701,2005,3,226000.0
11,272,20051001,2005,4,7000.0
12,281,20051001,2005,4,556000.0
13,282,20051001,2005,4,781000.0
14,283,20051001,2005,4,872000.0
15,284,20051001,2005,4,356000.0
16,285,20051001,2005,4,917000.0
17,286,20051001,2005,4,469000.0
18,287,20051001,2005,4,549000.0
19,288,20051001,2005,4,767000.0
20,289,20051001,2005,4,353000.0
21,272,20060101,2006,1,91000.0
22,281,20060101,2006,1,502000.0
23,282,20060101,2006,1,665000.0
24,283,20060101,2006,1,846000.0
25,284,20060101,2006,1,266000.0
26,285,20060101,2006,1,780000.0
27,286,20060101,2006,1,264000.0
28,287,20060101,2006,1,473000.0
29,288,20060101,2006,1,583000.0
30,289,20060101,2006,1,280000.0
31,272,20060401,2006,2,140000.0
32,281,20060401,2006,2,550000.0
33,282,20060401,2006,2,639000.0
34,283,20060401,2006,2,952000.0
35,284,20060401,2006,2,341000.0
36,285,20060401,2006,2,802000.0
37,286,20060401,2006,2,301000.0
38,287,20060401,2006,2,493000.0
39,288,20060401,2006,2,583000.0
40,289,20060401,2006,2,267000.0
41,272,20060701,2006,3,70000.0
42,281,20060701,2006,3,1429000.0
43,282,20060701,2006,3,1355000.0
44,283,20060701,2006,3,1600000.0
45,284,20060701,2006,3,542000.0
46,285,20060701,2006,3,734000.0
47,286,20060701,2006,3,210000.0
48,287,20060701,2006,3,1034000.0
49,288,20060701,2006,3,496000.0
50,289,20060701,2006,3,483000.0
51,290,20060701,2006,3,93000.0
52,291,20060701,2006,3,1898000.0
53,292,20060701,2006,3,593000.0
54,272,20061001,2006,4,154000.0
55,281,20061001,2006,4,1324000.0
56,282,20061001,2006,4,1009000.0
57,283,20061001,2006,4,1352000.0
58,284,20061001,2006,4,329000.0
59,285,20061001,2006,4,647000.0
60,286,20061001,2006,4,226000.0
61,287,20061001,2006,4,813000.0
62,288,20061001,2006,4,452000.0
63,289,20061001,2006,4,341000.0
64,290,20061001,2006,4,15000.0
65,291,20061001,2006,4,1262000.0
66,292,20061001,2006,4,409000.0
67,293,20061001,2006,4,321000.0
68,272,20070101,2007,1,107000.0
69,281,20070101,2007,1,729000.0
70,282,20070101,2007,1,860000.0
71,283,20070101,2007,1,839000.0
72,284,20070101,2007,1,239000.0
73,285,20070101,2007,1,571000.0
74,286,20070101,2007,1,190000.0
75,287,20070101,2007,1,470000.0
76,288,20070101,2007,1,288000.0
77,289,20070101,2007,1,151000.0
78,290,20070101,2007,1,33000.0
79,291,20070101,2007,1,938000.0
80,292,20070101,2007,1,217000.0
81,293,20070101,2007,1,281000.0
82,272,20070401,2007,2,58000.0
83,281,20070401,2007,2,1194000.0
84,282,20070401,2007,2,1021000.0
85,283,20070401,2007,2,1369000.0
86,284,20070401,2007,2,418000.0
87,285,20070401,2007,2,572000.0
88,286,20070401,2007,2,224000.0
89,287,20070401,2007,2,555000.0
90,288,20070401,2007,2,247000.0
91,289,20070401,2007,2,284000.0
92,290,20070401,2007,2,110000.0
93,291,20070401,2007,2,1279000.0
94,292,20070401,2007,2,404000.0
95,293,20070401,2007,2,304000.0
96,272,20070701,2007,3,263000.0
97,281,20070701,2007,3,1575000.0
98,282,20070701,2007,3,1525000.0
99,283,20070701,2007,3,1171000.0
100,284,20070701,2007,3,507000.0
101,285,20070701,2007,3,950000.0
102,286,20070701,2007,3,319000.0
103,287,20070701,2007,3,935000.0
104,288,20070701,2007,3,1051000.0
105,289,20070701,2007,3,631000.0
106,290,20070701,2007,3,184000.0
107,291,20070701,2007,3,1506000.0
108,292,20070701,2007,3,1262000.0
109,293,20070701,2007,3,516000.0
110,294,20070701,2007,3,132000.0
111,295,20070701,2007,3,728000.0
112,296,20070701,2007,3,478000.0
113,272,20071001,2007,4,116000.0
114,281,20071001,2007,4,1218000.0
115,282,20071001,2007,4,1276000.0
116,283,20071001,2007,4,971000.0
117,284,20071001,2007,4,453000.0
118,285,20071001,2007,4,675000.0
119,286,20071001,2007,4,450000.0
120,287,20071001,2007,4,684000.0
121,288,20071001,2007,4,707000.0
122,289,20071001,2007,4,372000.0
123,290,20071001,2007,4,324000.0
124,291,20071001,2007,4,1419000.0
125,292,20071001,2007,4,1057000.0
126,293,20071001,2007,4,380000.0
127,294,20071001,2007,4,40000.0
128,295,20071001,2007,4,566000.0
129,296,20071001,2007,4,389000.0
130,272,20080101,2008,1,84000.0
131,281,20080101,2008,1,849000.0
132,282,20080101,2008,1,894000.0
133,283,20080101,2008,1,714000.0
134,284,20080101,2008,1,280000.0
135,285,20080101,2008,1,538000.0
136,286,20080101,2008,1,343000.0
137,287,20080101,2008,1,614000.0
138,288,20080101,2008,1,569000.0
139,289,20080101,2008,1,234000.0
140,290,20080101,2008,1,116000.0
141,291,20080101,2008,1,883000.0
142,292,20080101,2008,1,707000.0
143,293,20080101,2008,1,454000.0
144,294,20080101,2008,1,7000.0
145,295,20080101,2008,1,366000.0
146,296,20080101,2008,1,399000.0
147,272,20080401,2008,2,187000.0
148,281,20080401,2008,2,869000.0
149,282,20080401,2008,2,1124000.0
150,283,20080401,2008,2,947000.0
151,284,20080401,2008,2,390000.0
152,285,20080401,2008,2,686000.0
153,286,20080401,2008,2,390000.0
154,287,20080401,2008,2,724000.0
155,288,20080401,2008,2,830000.0
156,289,20080401,2008,2,403000.0
157,290,20080401,2008,2,1000.0
158,291,20080401,2008,2,1329000.0
159,292,20080401,2008,2,908000.0
160,293,20080401,2008,2,497000.0
161,294,20080401,2008,2,26000.0
162,295,20080401,2008,2,627000.0
163,296,20080401,2008,2,421000.0
